Base	Feature importance
256	-0.000
257	0.000
258	130.248
259	-0.000
260	-0.000
261	-0.000
262	-2772.106
263	-0.000
264	0.000
265	168.146
266	-0.000
267	0.000
268	0.000
269	0.000
270	0.000
271	0.000
272	0.000
273	1292.399
274	0.000
275	0.000
276	0.000
277	427.668
278	0.000
279	0.000
280	0.000
281	-0.000
282	0.000
283	0.000
284	0.000
285	-0.000
286	-0.000
287	-0.000
288	-1284.971
289	-1127.182
290	-0.000
291	0.000
292	-0.000
293	-112.530
294	-0.000
295	-0.000
296	0.000
297	-0.000
298	-0.000
299	0.000
300	-317.164
301	-0.000
302	0.000
303	0.000
304	-0.000
305	-0.000
306	-1048.044
307	-0.000
308	-0.000
309	-0.000
310	-27.284
311	-0.000
312	-0.000
313	-0.000
314	-0.000
315	-0.000
316	-0.000
317	0.000
318	0.000
319	24.975
320	0.000
321	0.000
322	0.000
323	115.220
324	10.095
325	0.000
326	-0.000
327	0.000
328	0.000
329	-0.000
330	-0.000
331	0.000
332	0.000
333	-0.000
334	-0.000
335	-0.000
336	-819.720
337	-0.000
338	-0.000
339	-491.976
340	0.000
341	-0.000
342	-0.000
343	0.000
344	0.000
345	-0.000
346	-0.000
347	-1043.465
348	-61.005
349	-0.000
350	0.000
351	0.000
352	0.000
353	0.000
354	-0.000
355	0.000
356	-0.000
357	0.000
358	0.000
359	-0.000
360	-0.000
361	0.000
362	-836.402
363	-0.000
364	0.000
365	0.000
366	965.183
367	0.000
368	-0.000
369	-1548.958
370	-0.000
371	-0.000
372	-0.000
373	-0.000
374	-926.356
375	-0.000
376	0.000
377	0.000
378	0.000
379	0.000
380	1639.271
381	0.000
382	0.000
383	0.000
384	-0.000
385	0.000
386	-0.000
387	-0.000
388	-0.000
389	-0.000
390	-1580.729
391	-0.000
392	0.000
393	-0.000
394	-0.000
395	406.249
396	703.213
397	0.000
398	-0.000
399	1445.270
400	-466.041
401	0.000
402	0.000
403	0.000
404	-0.000
405	-983.181
406	-284.970
407	-0.000
408	-0.000
409	-1240.324
410	-0.000
411	0.000
412	0.000
413	0.000
414	0.000
415	-0.000
416	-0.000
417	-0.000
418	0.000
419	-0.000
420	-0.000
421	0.000
422	0.000
423	0.000
424	-0.000
425	0.000
426	533.403
427	0.000
428	-0.000
429	0.000
430	637.094
431	0.000
432	-1374.015
433	0.000
434	86.500
435	0.000
436	-0.000
437	0.000
438	0.000
439	-0.000
440	-748.480
441	-0.000
442	-0.000
443	0.000
444	-0.000
445	1984.917
446	0.000
447	0.000
448	0.000
449	0.000
450	0.000
451	0.000
452	1335.412
453	0.000
454	0.000
455	-0.000
456	0.000
457	-1439.837
458	1099.349
459	0.000
460	0.000
461	1575.001
462	0.000
463	630.908
464	1044.936
465	0.000
466	0.000
467	0.000
468	-0.000
469	-0.000
470	0.000
471	0.000
472	1586.211
473	0.000
474	0.000
475	-0.000
476	-0.000
477	-0.000
478	0.000
479	0.000
480	0.000
481	0.000
482	102.533
483	0.000
484	-0.000
485	-0.000
486	-0.000
487	0.000
488	0.000
489	-219.829
490	-0.000
491	-0.000
492	825.412
493	0.000
494	0.000
495	0.000
496	16.421
497	-0.000
498	0.000
499	0.000
500	0.000
501	-0.000
502	-0.000
503	-0.000
504	-0.000
505	0.000
506	422.476
507	-0.000
508	-1541.197
509	0.000
510	-0.000
511	0.000
512	-534.656
513	-0.000
514	-535.740
515	-0.000
516	0.000
517	0.000
518	0.000
519	-0.000
520	0.000
521	0.000
522	0.000
523	-0.000
524	-0.000
525	0.000
526	0.000
527	0.000
528	0.000
529	0.000
530	0.000
531	0.000
532	0.000
533	0.000
534	0.000
535	0.000
536	-0.000
537	-0.000
538	0.000
539	0.000
540	57.471
541	0.000
542	-0.000
543	0.000
544	0.000
545	-0.000
546	0.000
547	0.000
548	-1865.985
549	3523.020
550	0.000
551	-0.000
552	0.000
553	0.000
554	0.000
555	0.000
556	993.437
557	0.000
558	0.000
559	0.000
560	0.000
561	795.427
562	0.000
563	-0.000
564	0.000
565	0.000
566	0.000
567	0.000
568	-0.000
569	-0.000
570	0.000
571	0.000
572	0.000
573	-0.000
574	-1668.068
575	-0.000
576	-0.000
577	-0.000
578	-0.000
579	-0.000
580	-0.000
581	-0.000
582	-0.000
583	-0.000
584	-0.000
585	-608.382
586	-0.000
587	0.000
588	0.000
589	0.000
590	0.000
591	0.000
592	-0.000
593	0.000
594	0.000
595	0.000
596	-0.000
597	-0.000
598	-0.000
599	806.397
600	0.000
601	0.000
602	-0.000
603	-0.000
604	-0.000
605	0.000
606	335.839
607	264.468
608	0.000
609	470.970
610	-0.000
611	0.000
612	-0.000
613	-0.000
614	-0.000
615	-0.000
616	-723.644
617	-464.348
618	-0.000
619	-601.105
620	-0.000
621	-115.860
622	-0.000
623	-0.000
624	-0.000
625	1514.930
626	0.000
627	-0.000
628	0.000
629	-0.000
630	-0.000
631	-0.000
632	0.000
633	78.311
634	2636.006
635	-0.000
636	-0.000
637	-0.000
638	0.000
639	0.000
640	0.000
641	209.925
642	0.000
643	-0.000
644	-416.376
645	-0.000
646	-0.000
647	0.000
648	3316.040
649	0.000
650	-0.000
651	-0.000
652	0.000
653	141.707
654	0.000
655	261.542
656	641.351
657	2305.848
658	0.000
659	0.000
660	-767.521
661	-0.000
662	0.000
663	-1188.379
664	-1524.528
665	-374.418
666	-0.000
667	-0.000
668	-4075.444
669	-0.000
670	-0.000
671	-0.000
672	-0.000
673	-0.000
674	-0.000
675	-0.000
676	0.000
677	0.000
678	0.000
679	-0.000
680	0.000
681	-0.000
682	0.000
683	0.000
684	0.000
685	0.000
686	-0.000
687	0.000
688	0.000
689	0.000
690	0.000
691	0.000
692	-0.000
693	-0.000
694	-0.000
695	-0.000
696	-0.000
697	-0.000
698	-0.000
699	-0.000
700	-0.000
701	0.000
702	0.000
703	0.000
704	0.000
705	0.000
706	0.000
707	0.000
708	0.000
709	0.000
710	0.000
711	0.000
712	0.000
713	0.000
714	0.000
715	-0.000
716	-0.000
717	-0.000
718	-0.000
719	-0.000
720	-0.000
721	0.000
722	0.000
723	0.000
724	0.000
725	0.000
726	0.000
727	0.000
728	0.000
729	0.000
730	0.000
731	0.000
